src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
35.163.210.34,192.168.1.69,443,50058,6,2023-03-22 16:29:15,0.0,0,0,0,0,1,0,66,0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,66,66,66.0,0.0,0.0,20,0,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,66.0,179,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0,1,0,66,0
192.168.1.66,224.0.0.251,5353,5353,17,2023-03-22 16:29:15,950780.6301116943,768.8419145793123,3.1553019750176974,3.1553019750176974,0.0,3,0,731,0,287.0,157.0,243.66666666666666,61.282587702834114,0.0,0.0,0.0,0.0,287,157,243.66666666666666,61.282587702834114,3755.555555555555,24,0,8,3,475390.31505584717,613430.2616119385,337350.36849975586,138039.9465560913,950780.6301116943,613430.2616119385,337350.36849975586,475390.31505584717,138039.9465560913,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,243.66666666666666,0,0,0.0,0.0,0.0,0.0,337350.36849975586,276079.8931121826,306715.13080596924,30635.23769378662,0.0,0.0,0.0,0.0,0.0,0.0,243.66666666666666,0.0,0,3,0,731,0
192.168.1.66,224.0.0.251,5353,5353,17,2023-03-22 16:29:16,1340392.1127319336,1563.7215260301828,6.714453117496014,6.714453117496014,0.0,9,0,2096,0,525.0,157.0,232.88888888888889,113.85804460374179,0.0,0.0,0.0,0.0,525,157,232.88888888888889,113.85804460374179,12963.654320987655,72,0,8,9,167549.0140914917,486451.1489868164,23358.821868896484,139766.8129881088,1340392.1127319336,486451.1489868164,23358.821868896484,167549.0140914917,139766.8129881088,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,232.88888888888889,0,0,202762.12692260742,83803.41529846191,154287.33825683594,50997.35458532147,383930.6831359863,79161.6439819336,189862.63275146484,106146.1576619157,1718.0,9.0,0.0,0.0,1281.7144950953502,0.0,232.88888888888889,0.0,0,9,0,2096,0
192.168.1.69,192.168.1.66,1716,1716,17,2023-03-22 16:29:16,0.0,0,0,0,0,1,0,1514,0,1514.0,1514.0,1514.0,0.0,0.0,0.0,0.0,0.0,1514,1514,1514.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,1514.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1514.0,0.0,0,1,0,1514,0
34.120.52.64,192.168.1.69,443,38452,6,2023-03-22 16:29:17,21856.78482055664,15418.55322119685,183.00953378275193,91.50476689137597,91.50476689137597,2,2,205,132,139.0,66.0,102.5,36.5,66.0,66.0,66.0,0.0,139,66,84.25,31.60992723813201,999.1875,40,40,20,1,7285.594940185547,21453.142166137695,40.76957702636719,10018.83171718557,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,84.25,273,501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.5,66.0,0,2,2,205,132
192.168.1.66,224.0.0.251,5353,5353,17,2023-03-22 16:29:18,600940.2275085449,1464.3719287164663,3.3281180198101508,3.3281180198101508,0.0,2,0,880,0,709.0,171.0,440.0,269.0,0.0,0.0,0.0,0.0,709,171,440.0,269.0,72361.0,16,0,8,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,440.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.0,0.0,0,2,0,880,0
192.168.1.69,192.168.1.254,47046,53,17,2023-03-22 16:29:19,17464.399337768555,32866.8618312378,229.03736467761533,114.51868233880766,114.51868233880766,2,2,154,420,77.0,77.0,77.0,0.0,233.0,187.0,210.0,23.0,233,77,143.5,68.45984224346417,4686.75,16,16,8,2,5821.466445922852,9114.02702331543,66.99562072753906,4083.131629115896,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,143.5,0,0,0.0,0.0,0.0,0.0,9114.02702331543,8216.381072998047,8665.204048156738,448.8229751586914,0.0,0.0,0.0,0.0,0.0,0.0,77.0,210.0,0,2,2,154,420
192.168.1.69,34.213.210.44,32822,443,6,2023-03-22 16:29:19,386729.9556732178,382.69598159874187,5.171567318901917,2.5857836594509584,2.5857836594509584,1,1,74,74,74.0,74.0,74.0,0.0,74.0,74.0,74.0,0.0,74,74,74.0,0.0,0.0,20,20,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,74.0,64240,26847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,74.0,0,1,1,74,74
192.168.1.69,34.213.210.44,32822,443,6,2023-03-22 16:29:19,820668.9357757568,11987.781639011835,20.714808687050333,10.966663422556058,9.748145264494275,9,8,3720,6118,2549.0,66.0,413.3333333333333,771.9160864008758,5034.0,66.0,764.75,1616.9861432615928,5034,66,578.7058823529412,1255.6431567225702,1576639.737024221,180,160,20,3,51282.03332424164,409214.0197753906,-62.9425048828125,135140.87025672023,820668.9357757568,409252.1667480469,5.7220458984375,102583.6169719696,176938.15083371862,409451.0078430176,409450.2925872803,0.0,58493.00112043108,143277.71426721138,0,0,0,0,1,0,0,0,0,0,0,0.8888888888888888,578.7058823529412,502,110,408277.9884338379,506.1626434326172,204392.07553863525,203885.91289520264,408707.857131958,407509.56535339355,408108.7112426758,599.1458892822266,0.0,0.0,5419.0,4.0,0.0,22728933376.0,413.3333333333333,764.75,0,9,8,3720,6118
192.168.1.69,192.168.1.254,36530,53,17,2023-03-22 16:29:19,11664.867401123047,49207.58893022115,342.9100273883007,171.45501369415035,171.45501369415035,2,2,154,420,77.0,77.0,77.0,0.0,233.0,187.0,210.0,23.0,233,77,143.5,68.45984224346417,4686.75,16,16,8,2,3888.289133707682,6589.412689208984,40.29273986816406,2793.9495352400268,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,143.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,210.0,0,2,2,154,420
