src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.40.253,255.255.255.255,43403,10001,17,2022-11-02 13:41:23,0.0,0,0,0,0,1,0,190,0,190.0,190.0,190.0,0.0,0.0,0.0,0.0,0.0,190,190,190.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,190.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,0.0,0,1,0,190,0
0.0.0.0,255.255.255.255,68,67,17,2022-11-02 13:41:23,120041489.36271667,359.5590177124673,1.0496370935492072,1.0496370935492072,0.0,126,0,43162,0,354.0,342.0,342.55555555555554,2.4898382543104822,0.0,0.0,0.0,0.0,354,342,342.55555555555554,2.4898382543104822,6.199294532627869,1008,0,8,126,960331.9149017334,5014623.403549194,569.5819854736328,495091.28801564826,120041489.36271667,5014623.403549194,569.5819854736328,960331.9149017334,495091.28801564826,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,342.55555555555554,0,0,4091870.5463409424,207.9010009765625,423949.2620740618,757713.160422949,3991510.3912353516,6081.581115722656,377627.05485026044,648255.1128590688,3185.0,10.5,0.0,0.0,928.9353598696152,0.0,342.55555555555554,0.0,0,126,0,43162,0
192.168.40.74,224.0.0.251,5353,5353,17,2022-11-02 13:41:23,99983141.18385315,7.511266310577601,0.07001180316117604,0.07001180316117604,0.0,7,0,751,0,133.0,103.0,107.28571428571429,10.497813183356477,0.0,0.0,0.0,0.0,133,103,107.28571428571429,10.497813183356477,110.20408163265304,56,0,8,7,16663856.863975525,20057819.366455078,4605372.190475464,5654326.376369455,99983141.18385315,20057819.366455078,4605372.190475464,16663856.863975525,5654326.376369455,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,107.28571428571429,0,0,10746744.394302368,99448.91929626465,5423096.656799316,5323647.737503052,15449588.775634766,102307.31964111328,10301337.560017904,7211913.226973261,0.0,0.0,0.0,0.0,0.0,0.0,107.28571428571429,0.0,0,7,0,751,0
192.168.40.252,255.255.255.255,51313,10001,17,2022-11-02 13:41:23,0.0,0,0,0,0,1,0,209,0,209.0,209.0,209.0,0.0,0.0,0.0,0.0,0.0,209,209,209.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,209.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,0.0,0,1,0,209,0
192.168.40.45,224.0.0.251,5353,5353,17,2022-11-02 13:41:24,100391147.37510681,42.87230610004193,0.10957141428914062,0.10957141428914062,0.0,11,0,4304,0,570.0,138.0,391.27272727272725,186.77604036973892,0.0,0.0,0.0,0.0,570,138,391.27272727272725,186.77604036973892,34885.289256198346,88,0,8,11,10039114.737510681,31928780.555725098,2046441.7934417725,8812383.755065447,100391147.37510681,31928780.555725098,2046441.7934417725,10039114.737510681,8812383.755065447,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,391.27272727272725,0,0,0.0,0.0,0.0,0.0,15966716.051101685,819448.2326507568,8924180.459976196,6170434.871116454,0.0,0.0,0.0,0.0,0.0,0.0,391.27272727272725,0.0,0,11,0,4304,0
192.168.40.102,192.168.40.126,326,80,6,2022-11-02 13:41:24,0.0,0,0,0,0,1,0,56,0,56.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,56,56,56.0,0.0,0.0,20,0,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,56.0,512,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0,1,0,56,0
192.168.40.52,224.0.0.251,5353,5353,17,2022-11-02 13:41:25,117890862.46490479,33.72610834180321,0.18661327553311635,0.18661327553311635,0.0,22,0,3976,0,291.0,103.0,180.72727272727272,83.83163962164221,0.0,0.0,0.0,0.0,291,103,180.72727272727272,83.83163962164221,7027.743801652893,176,0,8,22,5613850.5935668945,20774453.40156555,179041.14723205566,7076042.4351159325,117890862.46490479,20774453.40156555,179041.14723205566,5613850.5935668945,7076042.4351159325,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,180.72727272727272,0,0,12818813.800811768,100917.10090637207,2630730.311075846,4581293.353745925,12997854.948043823,101841.21131896973,2986856.8976720176,3965344.614565975,1253.0,11.0,0.0,0.0,359.9974622243171,0.0,180.72727272727272,0.0,0,22,0,3976,0
192.168.40.102,192.168.40.126,327,80,6,2022-11-02 13:41:25,0.0,0,0,0,0,1,0,56,0,56.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,56,56,56.0,0.0,0.0,20,0,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,56.0,512,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0,1,0,56,0
192.168.40.102,192.168.40.126,328,80,6,2022-11-02 13:41:26,0.0,0,0,0,0,1,0,56,0,56.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,56,56,56.0,0.0,0.0,20,0,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,56.0,512,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0,1,0,56,0
192.168.40.232,239.255.255.250,40959,1900,17,2022-11-02 13:41:27,0.0,0,0,0,0,1,0,179,0,179.0,179.0,179.0,0.0,0.0,0.0,0.0,0.0,179,179,179.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,179.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,0.0,0,1,0,179,0
